,id,name,reviews.rating,reviews.text,reviews.title,subjectivity,polarity,review_analysis
13,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"just got em so I can't really comment on how good the do the job, good price, quick delivery but have only put two into one of my keyboards but they can go up to a year so who can say after three days",... got em so I can't really comment on how good the do the job,0.5800000000000001,0.3866666666666666,Positive
14,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,we have many things that need aa battery they are great,... have many things that need aa battery they are great,0.625,0.65,Positive
15,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Thankful that I was able to find on Amazon for a great price and even better shipping. Arrived in perfect condition and did exactly what I needed it to. Great purchase and would purchase again.,... I was able to find on Amazon for a great price and even better shipping,0.6458333333333334,0.6416666666666666,Positive
17,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"In my opinion these did not last anywhere near as long as Duracel in things like LED candles (which is crazy) and trail cameras. Cameras were not exposed to cold temps more or less than other batteries. WE buy in bulk for the north house. Amazon Basics is great for things like sheets and beeding and towels. In my opinion the battery life, in the large package of aaa and aa size we purchased were lacking.",... last anywhere near as long as Duracel in things like LED candles (which is crazy) and trail cameras,0.4886904761904763,0.0072619047619047,Positive
18,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,They don't last as long as the brand name but are good enough considering they are much cheaper.,... last as long as the brand name but are good enough considering they are much cheaper,0.3533333333333334,0.1699999999999999,Positive
20,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,This my second order and they seem to work as good as name brand and ship to my door.,... my second order and they seem to work as good as name brand and ship to my door,0.3,0.35,Positive
21,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,This was my second purchase of amazon batteries and they work great. Just as good or even better than name brand batteries and half the price. This will be the only way I purchase batteries from now on!,... my second purchase of amazon batteries and they work great. Just as good or even better than name ...,0.5027777777777778,0.3055555555555555,Positive
24,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,These do not last long at all very cheap batteries no happy,... not last long at all very cheap batteries no happy,0.5941666666666666,0.0175,Positive
25,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,have not used yet but a battery is a battery good price,... not used yet but a battery is a battery good price,0.6000000000000001,0.7,Positive
26,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,"These Amazon batteries did the job although I gave 4star only because I had a few I would say a hand full of batteries that were not as strong or were pretty weak but out of a box of 48 batteries, I will definitely buy again for this priceIm pretty well satisfied.Thank you!",... of batteries that were not as strong or were pretty weak but out of a box of 48 batteries,0.6885416666666666,0.0963541666666666,Positive
27,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,We've ordered these a few times cause we've been so happy with product. These are good quality. We are also happy with price. I would recommend these.,... ordered these a few times cause we've been so happy with product,0.675,0.525,Positive
28,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,HAVE NOT HAD CHANCE TO USE ALL OF THEM BUT HOPEFULLY ALL OF THEM WILL REMAIN IN GOOD ORDER FOR A REASONABLE AMOUNT OF TIME MEANING A FEW YEARS OUT.,... THEM BUT HOPEFULLY ALL OF THEM WILL REMAIN IN GOOD ORDER FOR A REASONABLE AMOUNT OF TIME MEANING A ...,0.4333333333333334,0.2333333333333333,Positive
29,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),3,"these were under a light we thought they were there to fit the light when they arrived and nice company they were not the batteries we needed it should have been aa but that is ok,it was our fault not knowing this. thanks..",... there to fit the light when they arrived and nice company they were not the batteries we needed it ...,0.6,0.4000000000000001,Positive
30,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,"I use these batteries in my game cameras and they work great, last several weeks.","... these batteries in my game cameras and they work great, last several weeks",0.3041666666666666,0.1,Positive
31,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Very convenient to have a box of batteries and at a good price. No longer need to compare pricing in stores. Should have done this long time ago.,... to have a box of batteries and at a good price. No longer need to compare pricing in ...,0.4333333333333334,0.2833333333333332,Positive
32,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Not much to say about batteries except they work for a good price. Having a hundred let's me share with kids and grand kids.,... to say about batteries except they work for a good price. Having a hundred let's me share with ...,0.6,0.3666666666666667,Positive
33,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,They seem to work okay so far and the price was great.,... to work okay so far and the price was great.,0.75,0.4666666666666666,Positive
34,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,I use them for my Xbox controllers and they last pretty long. Great for a cheap price.,... use them for my Xbox controllers and they last pretty long. Great for a cheap price,0.5833333333333334,0.2799999999999999,Positive
35,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Seem to hold up as well as any name brand and at a much better price,... well as any name brand and at a much better price,0.5,0.5,Positive
36,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Works just as well as every other brand of battery with a better price. Powers all of my sons toys for months at a time.,... well as every other brand of battery with a better price. Powers all of my sons toys for ...,0.4375,0.1875,Positive
37,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),3,Just got them so i really wont kno for a few eeeks or so how good these batteries are,... wont kno for a few eeeks or so how good these batteries,0.3,0.2333333333333333,Positive
40,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"3rd purchase of these AA from Amazon, all have expiration of 2027. Ones I've used thus far last as Long as name brands",10 years and strong performace,0.3666666666666667,0.0125,Positive
41,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,I am 100 satisfied with my purchase of these batteries,100 satisfied..,1.0,0.5,Positive
43,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,"First time I bought these they worked well and lasted almost as long as the name brands. Not the same this time around, almost no charge - 4-6 hours of run time - Junk batteries.","1st purchase was good, this time they are junk!",0.2861111111111111,0.0666666666666666,Positive
44,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Seem to work very well at a great price.,2 THUMBS UP.,0.525,0.5,Positive
45,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1,These batteries don't last even in a simple digital clock. 2 weeks at best.,2 weeks at best.,0.1809523809523809,0.25,Positive
46,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"I buy AAA and AA batteries about 4 - 6 times a year. I made the switch to Amazon batteries about 2 years ago and never looked back. These batteries work just as well as any of the name brands, but at a much more reasonable cost.",2-year Review,0.3666666666666667,0.2333333333333333,Positive
48,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,"GOT THE 48 PACK, I USEDD THEM UP FASTER THAN I THOUGHT I WOULD!!,SO IM ORDERING MORE !! SO IM ORDERING MORE NOW",48 PACK BLISS!!!,0.5,0.640625,Positive
49,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,The 48 packs are the lowest price per AA battery you will find anywhere. I have a device I use for work that needs 8 new AA batteries every working day. These batteries get me through a 12 hour day the same as the expensive batteries. I could switch to rechargeable batteries but the simplicity of just putting in new batteries and not fooling with recharging every night is worth it to me.,48 pack is cheapest per battery you will find anywhere. Same power as name brands.,0.3668181818181818,0.0145454545454545,Positive
50,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,I definitely love the price and quantity.. My kids go tthrough them to fast. At least these will last a while..,48pack,0.4166666666666667,0.0999999999999999,Positive
51,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,They worked and great price.,5 star,0.75,0.8,Positive
52,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Batteries. Standard AA kind. We use them everyday. They power many things and these work as good or better than any others.,5 Star review for the AA,0.5166666666666667,0.3499999999999999,Positive
53,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Excellent performance and better price.,5 Star!!!,0.75,0.75,Positive
55,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Excellent,5 Stars,1.0,1.0,Positive
56,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Great product!,5 Stars,0.75,1.0,Positive
58,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,LOVE THESE BATTERIES! BETTER THAN DURACELL AND SAVES ME MONEY! THANK YOU FOR A GREAT PRODUCT AMAZON!,5 STARS FOR AMAZON BATTERIES!,0.6166666666666667,0.75,Positive
59,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Amazon you rock! These work better than name brand batteries and cost nothing. Have the same nice feel of expensive batteries too. Perfect in my opinion, will re purchase!","5 Stars, just buy!",0.665,0.32,Positive
60,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Amazing so far. These AAA's are even more affordable than the brands at WalMart. Will update if they end up not being good.,5 Stars!,0.75,0.475,Positive
61,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,works great,5*,0.75,0.8,Positive
62,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,I am happy to report that this order is working fine with no issues. I am very satisfied with this order and plan to buy again from same seller. Thank you. Jn,5*z House of video games...,0.65625,0.4666666666666667,Positive
63,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,"AmazonBasics batteries are quite good in terms of capacity -- pretty much tied for the top spot compared to the other 6 brands I've tested, but other brands have the edge in capacity per dollar. When I computed value by dividing capacity by the cost per battery of the cheapest package size, they took a respectable third place, and they have the advantage of being a trusted name compared to the value leader. In the images I have attached a graph and a table summarizing my test results for the 7 types I've tested, but if you'd like to know more about how I test ... on to the in-dept test review.I've been on a bit of a quest to test all of the top-selling aaa batteries on Amazon in a repeatable, precise way. This means the same equipment, same environmental conditions, and same slots in the equipment will be used for each test. For each test, I fully discharge 3 batteries in my Opus BT-C2000 battery analyzer at rates of 100 ma, 200 ma, and 400 ma (discharge rate affects usable capacity). I have also performed this exact same test (same equipment, same conditions) on the ACDelco, Duracell Procell, Duracell Coppertop, Energizer MAX, Maxell, and Rayovac. I have linked the other brands I've reviewed at the end of this review if you'd like to take a look at the other results for comparison purposes. For the Amazon Basics batteries, the capacity at each discharge rate was:Disch Rt Capacity Runtime Sample use case100 mA 997 mAh 10 hrs Low-power LED flashlight200 mA 914 mAh 4.5 hrs Electronic toy / medium LED flashlight400 mA 623 mAh 1.5 hrs Motorized toy / bright LED flashlightNote that these (and all other Alkalines) would achieve somewhat higher capacity (maybe 1200 mAh) in a low discharge application like a mouse, keyboard, remote control, etc because alkaline batteries have internal resistance that reduces usable capacity at high discharge rates.The capacity of these batteries is among the best I've tested -- take a look at the attached data table for comparative data. For the cost (0.31/ea in a 36 pack right now), these are a decent but beatable value -- the power supplied per dollar spent is very good, but eclipsed by other currently available options.Comparison:These batteries do well capacity-wise, but value-wise are blown away by the currently cheapest energy/dollar battery that I've tested, the ACDelco aaa's. Their capacity results were:Disch Rt Capacity Runtime100 mA 1005 mAh 10 hrs200 mA 864 mAh 4.3 hrs400 mA 670 mAh 1.7 hrsAs you can see, the Amazon batteries were very comperable ... but, at the current time the AmazonBasics batteries are 0.31/ea (36 pack), while the ACDelco batteries are about 0.21/ea (48 pack) -- so the ACDelco are significantly cheaper per mAh. I did not test shelf life, so it's possible that these may hold up better sitting in a drawer. Although both the Amazon batteries and the ACDelco batteries are certainly made on contract by a third party, I do think that I trust Amazon a bit more to provide consistent batteries than ACDelco ... although I haven't had any trouble with my ACDelco batteries so far. It's also worth noting that the Amazon batteries come in clearly superior packaging - while the ACDelco batteries come in a horrible gigantic plastic blister pack, the Amazon batteries come in a closable cardboard box. If you don't go through a lot of batteries organization of your battery drawer is important to you, that could push them into the all-around winner category despite the 50 price premium.Finally, because another review specifically mentions the Rayovac AA's as being 'good' in some usage scenarios, I thought I'd share my findings for the Rayovac AAA's. In short, they're garbage - the Amazon batteries are better in EVERY case. It's possible that the Rayovac AA's are much better than the AAA's, but I think it's more likely that the version of the Rayovacs tested by the website that he got his results from is different than the most popular Rayovac on Amazon (I source all of my batteries from Amazon). I ran the Rayovac test several times because I couldn't believe how poorly they did ... here are some typical Rayovac results:Disch Rt Capacity Runtime100 mA 908 mAh 9 hrs200 mA 590 mAh 2.9 hrs400 mA 443 mAh 1.1 hrsMy other battery tests/reviews:I have posted reviews for Duracell Coppertop, Duracell Procell and ACDelco aaa alkaline batteries with capacity data gathered using the exact same method and equipment. To find those reviews for comparison purposes, go to the product pages linked below and search for 'mah' under 'all reviews' (or just browse to them on my profile). If/when I do additional aaa tests/reviews in the future, I will update this list.ACDelco AAA Super Alkaline BatteriesDuracell AAA Batteries Coppertop MN2400 - 20 PackDuracell Procell AAA Batteries PC2400BKD09Energizer MAX AAA BatteriesMaxell Alkaline Battery AAA CellRayovac Alkaline AAA Batteries","7 brands, 1 test: results",0.4545658263305322,0.1757843137254902,Positive
65,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,A good bang for your buck!! Almost everything now a days uses batteries.,A 'GREAT' Value,0.6000000000000001,1.0,Positive
66,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),2,"If it's possible to have gotten a dud batch I sure got it. We BLEW through all these batteries in less than a month. My kids toys aren't that super powered and even in remotes I was having to change batteries way too often. For example the magic touch counting toy, the store batteries lasted 3 years. Popped in some Amazon batteries, 1 month and the second child didn't play with it nearly as much as the first. For the price it was worth the try but I'm going back to the other brands.",A bad batch,0.420959595959596,0.1628787878787878,Positive
67,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,NICE PRODUCT,A BARGAIN,1.0,0.6,Positive
68,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Great basic batteries! Fantastic price. I like having a stockpile. When my kids get toys at Christmas I feel like Oprah. YOU get a battery! and YOU get a battery!...,A Basic B,0.5916666666666667,0.475,Positive
69,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Some day we will probably look back and chuckle about 'primitive' batteries like these. But not yet. They are an integral part of our daily lives. We need food, drink, shelter, love, and BATTERIES! You can't beat the price/quality combination.",A basic need!,0.1999999999999999,0.2083333333333333,Positive
70,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,A battery is a battery these work just as good if not better than the name brands like Duracell or Enginzer,A battery is a battery these work just as good if not better than the name brands like Duracell ...,0.55,0.2249999999999999,Positive
71,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"I like to have a good stock of batteries in my home. I am a repeat purchaser of these and other sizes. So far no performance issues. Lasts like Duracell. They might consider improving the graphics though, not very exciting to look at.",A bunch of batteries for a great price.,0.6475961538461539,0.1399038461538461,Positive
72,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,These worked out great for his battery powered cars I got him. What a awesome deal.,A Christmas gift for my Grandson,0.875,0.9,Positive
73,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"I used to buy batteries from Costco which come under Kirkland brand. I thought of testing Amazon Basics based on my experience of other Amazon Basics products in the past. These batteries are way better than Kirkland, Energizer and Duracell. The cost is nicely placed. Now my kids have more time to play with toys before the need to replace the batteries. A clear thumbs up!",A clear thumbs up!,0.5013888888888889,0.225,Positive
76,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Never purchased these before ... Work well so far,A good alkaline,1.0,0.1,Positive
78,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,I bought the smaller pack last time and didn't realize how quickly it runs out. Very happy with this amount of batteries.,A good buy,0.5166666666666666,0.3333333333333333,Positive
79,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Like that I can buy these online and in bulk. Have ordered them several times. A good buy,A good buy,0.3,0.35,Positive
81,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,This large pack of batteries is a cheap alternative to buying other brand names and are particularly useful for gaming. The battery life is every bit as good as the brand name batteries as well. I use these batteries for frequent gaming to power my controller and headset.,A Good Buy for Gamers,0.400595238095238,0.2648809523809524,Positive
82,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Good deal for rechargeable. They all work and seem to preform well.,A good choice.,0.6000000000000001,0.7,Positive
83,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Good batteries at a good price,A good deal,0.6000000000000001,0.7,Positive
84,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,They seem to have some good staying power and are cheaper than most other brands. I highly recommend as this box lasts quite a few months with the kids mainly using these for xbox controllers.,A good deal.,0.4080555555555556,0.2002777777777777,Positive
85,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,These batteries are a good value and work well. I have used them in the past and would recommend them to all.,A good purchase,0.425,0.2249999999999999,Positive
86,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,A friend advised me to buy my batteries from Amazon. Her family swears by them. I am now using them and agree they are a good buy for the money and I am not worried about running out of batteries or running out to have to buy them.,A good referral,0.6000000000000001,0.7,Positive
87,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Batteries are pretty much of a commodity as long as they do what they're supposed to do, so I ordered these based on their price -- much cheaper than what you can buy in a store. And these batteries seem to last as long as any of the name brands. A good value.",A good value,0.4095238095238095,0.1785714285714285,Positive
88,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,These Amazon batteries seem like a good value.,A good value,0.6000000000000001,0.7,Positive
89,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Everyone needs AA batteries. These are fine and a great price!,A good value for sure.,0.625,0.7083333333333334,Positive
90,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,"so many batteries, so little money. A great deal",A great,0.5833333333333334,0.3708333333333333,Positive
91,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,Works great for everyday AA battery needs,A Great Alternative to National AA Battery Brands,0.675,0.3,Positive
93,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Great buy for the money - these batteries work very well. I've gotten them in the past. The best part is that they are so inexpensive that you can run through them, and not feel like you're running through your bank account!",A great buy for the money!,0.4,0.4375,Positive
94,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"A great deal, and the batteries have a good life to them. I will buy again when I start running low.","A great deal, and the batteries have a good life ...",0.55,0.5,Positive
95,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"All I buy now is AmazonBasics when it comes to batteries. They are long lasting and a great price. I have tried the AA, AAA, and 9-volt. As a cheap shopper, I am pleased with their performance and price.",A great option for batteries.,0.57,0.3299999999999999,Positive
96,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Between LeapPads, Xbox controllers and remotes, we use batteries a lot. These have held up great with a comparable lifespan to other household brands.",A great option!,0.5625,0.3375,Positive
97,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,I buy all my batteries here. Great long lasting batteries.,A great place for Batteries,0.3833333333333333,0.25,Positive
98,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"You know those crazy cheap batteries that are so light you practically hit yourself in the face when you pick one up These aren't those.I've already purchased a couple sets of these and have been really happy with the quality/lifespan. I'd say they're DEFINTELY comparable to the more expensive name brands. I've happily recommended them to friends and family, and it's so handy always having plenty of AA batteries, especially around birthdays and holidays!",A great price for a ton of quality batteries!,0.8222222222222223,0.2666666666666666,Positive
100,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"As a teacher, I need tons of batteries, but I refused to spend excessive amounts on them, so I figured this was the best option! They are long-lasting, worth the money, cute (if that even matters, lol)! You won't find a deal like this in stores!I highly recommend!",A great value for those that run through batteries like air!,0.6066666666666668,0.4583333333333333,Positive
101,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),4,"Ive been buying these since they started selling them. The last batch, I had one that leaked. It was in a rather expensive candle, so a heads up for those using this battery to check once in a while. Ive never had this happen before. It turned all brown on one side and could have ruined my candle if I didnt clean it out real good. The battery was only week old, used infrequently in an air conditioned home. I will still continue to buy these.",A leaker in the pack,0.5944444444444446,0.1611111111111111,Positive
103,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Lieutenant Dan got me these batteries. So then I got a call from him, saying we dont have to worry about batteries no more. And I said, thats good! One less thing. -Forrest",A lot of batteries,0.3888888888888889,0.1527777777777778,Positive
104,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"A lot of batteries for the money. So far, all working well.",A lot of batteries for the money. So far ...,1.0,0.1,Positive
105,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,Great Batteries,A lot of power for a little price,0.75,0.8,Positive
106,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,I happen to have remote controls in our house and this item certainly is a must in my living room.,A must in my living room,0.3857142857142857,0.0571428571428571,Positive
108,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"Worked exactly as they are supposed to, good price, good quality. lasting a nice long time, A good buy.",A nice deal on good batteries.,0.4928571428571429,0.4142857142857143,Positive
109,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"This is a great purchase. My outdoor cameras on my house them. Compared to the leading namebrands, I find these to last longer. I am getting four months per pair of batteries instead of three months with my surveillance cameras.",A positive boost for my equipment.,0.4083333333333333,0.4,Positive
110,AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),5,"I've been buying AAA alkaline batteries in packages of four at the dollar store and thought I was getting a pretty good deal on the price, but it bothered me to have to throw away so much packaging every time I needed four batteries. Then I was checking out a fellow reviewer's profile and found a review of the AmazonBasics AAA batteries. He (or she, I can't remember) claimed these work as well or better than name brands and are even less expensive than the dollar store deals and with much less waste in the packaging.So I ordered some and his advice was right on the money. I've used them (so far) in small flashlights and in one of my TENS machines. Great performance. The price (which seems to fluctuate) is less than I was paying locally. Best of all, you get 36 batteries in a tiny cardboard box that measures 4 1/4 x 2 1/4 x 2 1/4. There are 9 sealed packages of 4 batteries each, but there's much less waste in the packaging. Amazon claims 10-year, no-leak shelf life for them, but even I use batteries faster than that.I think this is a great product at a great price and I love the packaging. Glad I stumbled onto them.",A small price and an even smaller footprint,0.4691609977324263,0.219954648526077,Positive
